,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"TABLE S.3. Combined total of all bachelor's degrees in mathematics and statistics departments at four-year colleges and universities between July 1 and June 30 in 1994—95, 1999—2000, 2004—2005, 2009—10, 2014—15, and 2020-21 by selected majors and gender.",,,,,,,,,,,,,
,Major,,94-95,,99-00,,04--05,,09--10,,14—15,20-21,,
,Mathematics (except as reported below),,12456,,10759,,12316,,12468,,12794,11701,,
,Mathematics Education,,4829,,4991,,3369,,3614,,2880,1993,,
,Statistics Education,,na,,na,,na,,na,,na,0,,
,Statistics (except Actuarial Science),,1031,,502,,527,,856,,1509,3703,,
,Biostatistics,,na,,na,,na,,na,,na,0,,
,Actuarial Mathematics,,620,,425,,499,,849,,2354,706,,
,Actuarial Science,,na,,na,,na,,na,,na,139,,
,Data Science,,na,,na,,na,,na,,na,537,,
,All Joint Majors in Math Depts (combined),,na,,na,,na,,1222,,1821,1542,,
,Joint Statistics & Computer Science,,na,,na,,na,,na,,na,14,,
,Joint Mathematics & Computer Science,,453,,876,,719,,na,,na,,,
,2 Joint Mathematics & Statistics,,188,,196,,203,,na,,na,,,
,Joint Math/Stat & Business or Economics,,na,,na,,214,,na,,na,,,
,Other (includes Operations Research prior to 2010) 3,,577,,1550,,985,,231,,907,705,,
,"Total Mathematics, Statistics & Joint degrees",,20154,,19299,,18833,,19241,,22266,21409,,
,Number of women,,9061,,9017,,8192,,8692,,9643,8641,,
,Computer Science degrees,,2741,,3315,,2603,,2137,,3968,1154,,
,Number of women,,532,,808,,465,,394,,1302,251,,
,Total degrees,,22895,,22614,,21437,,21377,,26234,22562,,
,Number of women,,9593,,9825,,8656,,9086,,10946,8892,,
,Note: Round-off may make column totals seem inaccurate.,,,,,,,,,,,,,
,"Beginning in 2010, the survey asked for the total number of alljoint majors. 2 In statistics departments.",,,,,,,,,,,,,
,"3 Prior to 2010, Operations Research was a separate category. Beginning in 2010, Operations Research is included in Other Mathematics.",,,,,,,,,,,,,
