Add to cart,Variable,Variable Label,CG2013,DR2013,CG2010,DR2010,RG2010,CG2008,DR2008,RG2008,CG2006,DR2006,RG2006,CG2003,DR2003,RG2003,CG1999,DR1999,RG1999,CG1997,DR1997,RG1997,CG1995,DR1995,RG1995,CG1993,DR1993,Variable,RG1993
,PHDSATIS,Satisfaction with doctoral program,,,,,,,,,,,,,,,,X,,,X,,,,,,,PHDSATIS,
,PHDRCNT,First doctoral degree received between June 1990 and June 1996,,,,,,,,,,,,,,,,X,,,X,,,,,,,PHDRCNT,
,AFFLEL,Completing doctoral degree affected: level of responsibility,,,,,,,,,,,,,,,,,,,X,,,,,,,AFFLEL,
,AFFMNG,Completing doctoral degree affected: management activities,,,,,,,,,,,,,,,,,,,X,,,,,,,AFFMNG,
,AFFOTH,Completing doctoral degree affected: other,,,,,,,,,,,,,,,,,,,X,,,,,,,AFFOTH,
,AFFREW,Completing doctoral degree affected: interesting/rewarding work,,,,,,,,,,,,,,,,,,,X,,,,,,,AFFREW,
,AFFSEC,Completing doctoral degree affected: job security,,,,,,,,,,,,,,,,,,,X,,,,,,,AFFSEC,
,AFFTECH,Completing doctoral degree affected: technically demanding work,,,,,,,,,,,,,,,,,,,X,,,,,,,AFFTECH,
,AFSAL,Completing doctoral degree affected: salary level,,,,,,,,,,,,,,,,,,,X,,,,,,,AFSAL,
,ADQNONE,No more training desired,,,,,,,,,,,,,,,,X,,,X,,,,,,,ADQNONE,
,ADQPRI,More training: first area,,,,,,,,,,,,,,,,X,,,X,,,,,,,ADQPRI,
,ADQSEC,More training: second area,,,,,,,,,,,,,,,,X,,,X,,,,,,,ADQSEC,
,ADQCOMM,Career preparation: oral communication skills,,,,,,,,,,,,,,,,X,,,X,,,,,,,ADQCOMM,
,ADQCOMP,Career preparation: computer skills,,,,,,,,,,,,,,,,X,,,X,,,,,,,ADQCOMP,
,ADQCONT,Career preparation: establishing contacts,,,,,,,,,,,,,,,,X,,,X,,,,,,,ADQCONT,
,ADQETHIC,Career preparation: research integrity/ethics,,,,,,,,,,,,,,,,X,,,X,,,,,,,ADQETHIC,
,ADQGP,Career preparation: problem solving skills,,,,,,,,,,,,,,,,X,,,X,,,,,,,ADQGP,
,ADQKNOW,Career preparation: subject matter knowledge,,,,,,,,,,,,,,,,X,,,X,,,,,,,ADQKNOW,
,ADQMNG,Career preparation: management/administrative skills,,,,,,,,,,,,,,,,X,,,X,,,,,,,ADQMNG,
,ADQQUA,Career preparation: quantitative skills,,,,,,,,,,,,,,,,X,,,X,,,,,,,ADQQUA,
